ID Name,Red,Green,Blue,Hexadecimal
DarkOliveGreen,85,107,47,#556b2f
DarkOrange,255,140,0,#ff8c00
DarkOrchid,153,50,204,#9932cc
DarkPastelBlue,119,158,203,#779ecb
DarkPastelGreen,3,192,60,#03c03c
DarkPastelPurple,150,111,214,#966fd6
DarkPastelRed,194,59,34,#c23b22
DarkPink,231,84,128,#e75480
DarkPowderBlue,0,51,153,#000039
DarkRaspberry,135,38,87,#872657
DarkRed,139,0,0,#8b0000
DarkSalmon,233,150,122,#e9967a
DarkScarlet,86,3,25,#560319
DarkSeaGreen,143,188,143,#8fbc8f
DarkSienna,60,20,20,#3c1414
DarkSlateBlue,72,61,139,#483d8b
DarkSlateGray,47,79,79,#2f4f4f
DarkSpringGreen,23,114,69,#177245
DarkTan,145,129,81,#918151
DarkTangerine,255,168,18,#ffa812
DarkTaupe,72,60,50,#483c32
DarkTerraCotta,204,78,92,#cc4e5c
DarkTurquoise,0,206,209,#00ced1
DarkViolet,148,0,211,#9400d3
DarkYellow,155,135,12,#9b870c
DartmouthGreen,0,112,60,#00703c
DavySGrey,85,85,85,#000555
DebianRed,215,10,83,#d70a53
DeepCarmine,169,32,62,#a9203e
DeepCarminePink,239,48,56,#ef3038
DeepCarrotOrange,233,105,44,#e9692c
DeepCerise,218,50,135,#da3287
DeepChampagne,250,214,165,#fad6a5
DeepChestnut,185,78,72,#b94e48
DeepCoffee,112,66,65,#704241
DeepFuchsia,193,84,193,#c154c1
DeepJungleGreen,0,75,73,#004b49
DeepLilac,153,85,187,#00095b
DeepMagenta,204,0,204,#000c0c
DeepPeach,255,203,164,#ffcba4
DeepPink,255,20,147,#ff1493
DeepRuby,132,63,91,#843f5b
DeepSaffron,255,153,51,#000f93
DeepSkyBlue,0,191,255,#00bfff
DeepTuscanRed,102,66,77,#66424d
Denim,21,96,189,#1560bd
Desert,193,154,107,#c19a6b
DesertSand,237,201,175,#edc9af
DimGray,105,105,105,#696969
DodgerBlue,30,144,255,#1e90ff
DogwoodRose,215,24,104,#d71868
DollarBill,133,187,101,#85bb65
Drab,150,113,23,#967117
DukeBlue,0,0,156,#00009c
EarthYellow,225,169,95,#e1a95f
Ebony,85,93,80,#555d50
Ecru,194,178,128,#c2b280
Eggplant,97,64,81,#614051
Eggshell,240,234,214,#f0ead6
EgyptianBlue,16,52,166,#1034a6
ElectricBlue,125,249,255,#7df9ff
ElectricCrimson,255,0,63,#ff003f
ElectricCyan,0,255,255,#0000ff
ElectricGreen,0,255,0,#0000f0
ElectricIndigo,111,0,255,#6f00ff
ElectricLavender,244,187,255,#f4bbff
ElectricLime,204,255,0,#000cf0
ElectricPurple,191,0,255,#bf00ff
ElectricUltramarine,63,0,255,#3f00ff
ElectricViolet,143,0,255,#8f00ff
ElectricYellow,255,255,0,#000ff0
Emerald,80,200,120,#50c878
EnglishLavender,180,131,149,#b48395
EtonBlue,150,200,162,#96c8a2
Fallow,193,154,107,#c19a6b
FaluRed,128,24,24,#801818
Fandango,181,51,137,#b53389
FashionFuchsia,244,0,161,#f400a1
Fawn,229,170,112,#e5aa70
Feldgrau,77,93,83,#4d5d53
FernGreen,79,121,66,#4f7942
FerrariRed,255,40,0,#ff2800
FieldDrab,108,84,30,#6c541e
FireEngineRed,206,32,41,#ce2029
Firebrick,178,34,34,#b22222
Flame,226,88,34,#e25822
FlamingoPink,252,142,172,#fc8eac
Flavescent,247,233,142,#f7e98e
Flax,238,220,130,#eedc82
FloralWhite,255,250,240,#fffaf0
FluorescentOrange,255,191,0,#ffbf00
FluorescentPink,255,20,147,#ff1493
FluorescentYellow,204,255,0,#000cf0
Folly,255,0,79,#ff004f
ForestGreenTraditional,1,68,33,#014421
ForestGreenWeb,34,139,34,#228b22
FrenchBeige,166,123,91,#a67b5b
FrenchBlue,0,114,187,#0072bb
FrenchLilac,134,96,142,#86608e
FrenchLime,204,255,0,#000cf0
FrenchRaspberry,199,44,72,#c72c48
FrenchRose,246,74,138,#f64a8a
Fuchsia,255,0,255,#000f0f
FuchsiaCrayola,193,84,193,#c154c1
FuchsiaPink,255,119,255,#000f7f
FuchsiaRose,199,67,117,#c74375
Fulvous,228,132,0,#e48400
FuzzyWuzzy,204,102,102,#000c66
Gainsboro,220,220,220,#dcdcdc
Gamboge,228,155,15,#e49b0f
GhostWhite,248,248,255,#f8f8ff
Ginger,176,101,0,#b06500
Glaucous,96,130,182,#6082b6
Glitter,230,232,250,#e6e8fa
GoldMetallic,212,175,55,#d4af37
GoldWebGolden,255,215,0,#ffd700
GoldenBrown,153,101,21,#996515
GoldenPoppy,252,194,0,#fcc200
GoldenYellow,255,223,0,#ffdf00
Goldenrod,218,165,32,#daa520
GrannySmithApple,168,228,160,#a8e4a0
Gray,128,128,128,#808080
GrayAsparagus,70,89,69,#465945
GrayHtmlCssGray,128,128,128,#808080
GrayX11Gray,190,190,190,#bebebe
GreenColorWheelX11Green,0,255,0,#0000f0
GreenCrayola,28,172,120,#1cac78
GreenHtmlCssGreen,0,128,0,#008000
GreenMunsell,0,168,119,#00a877
GreenNcs,0,159,107,#009f6b
GreenPigment,0,165,80,#00a550
GreenRyb,102,176,50,#66b032
GreenYellow,173,255,47,#adff2f
Grullo,169,154,134,#a99a86
GuppieGreen,0,255,127,#00ff7f
HalayaBlue,102,56,84,#663854
HanBlue,68,108,207,#446ccf
HanPurple,82,24,250,#5218fa
HansaYellow,233,214,107,#e9d66b
Harlequin,63,255,0,#3fff00
HarvardCrimson,201,0,22,#c90016
HarvestGold,218,145,0,#da9100
HeartGold,128,128,0,#808000
Heliotrope,223,115,255,#df73ff
HollywoodCerise,244,0,161,#f400a1
Honeydew,240,255,240,#f0fff0
HonoluluBlue,0,127,191,#007fbf
HookerSGreen,73,121,107,#49796b
HotMagenta,255,29,206,#ff1dce
HotPink,255,105,180,#ff69b4
HunterGreen,53,94,59,#355e3b
Iceberg,113,166,210,#71a6d2
Icterine,252,247,94,#fcf75e
ImperialBlue,0,35,149,#002395
Inchworm,178,236,93,#b2ec5d
IndiaGreen,19,136,8,#138808
IndianRed,205,92,92,#cd5c5c
IndianYellow,227,168,87,#e3a857
Indigo,111,0,255,#6f00ff
IndigoDye,0,65,106,#00416a
IndigoWeb,75,0,130,#4b0082
InternationalKleinBlue,0,47,167,#002fa7
InternationalOrangeAerospace,255,79,0,#ff4f00
InternationalOrangeEngineering,186,22,12,#ba160c
InternationalOrangeGoldenGateBridge,192,54,44,#c0362c
Iris,90,79,207,#5a4fcf
Isabelline,244,240,236,#f4f0ec
IslamicGreen,0,144,0,#009000
Ivory,255,255,240,#fffff0
Jade,0,168,107,#00a86b
Jasmine,248,222,126,#f8de7e
Jasper,215,59,62,#d73b3e
JazzberryJam,165,11,94,#a50b5e
Jet,52,52,52,#343434
Jonquil,250,218,94,#fada5e
JuneBud,189,218,87,#bdda57
JungleGreen,41,171,135,#29ab87
KellyGreen,76,187,23,#4cbb17
KenyanCopper,124,28,5,#7c1c05
KhakiHtmlCssKhaki,195,176,145,#c3b091
KhakiX11LightKhaki,240,230,140,#f0e68c
KuCrimson,232,0,13,#e8000d
LaSalleGreen,8,120,48,#087830
LanguidLavender,214,202,221,#d6cadd
LapisLazuli,38,97,156,#26619c
LaserLemon,254,254,34,#fefe22
LaurelGreen,169,186,157,#a9ba9d
Lava,207,16,32,#cf1020
LavenderBlue,204,204,255,#000ccf
LavenderBlush,255,240,245,#fff0f5
LavenderFloral,181,126,220,#b57edc
LavenderGray,196,195,208,#c4c3d0
LavenderIndigo,148,87,235,#9457eb
LavenderMagenta,238,130,238,#ee82ee
LavenderMist,230,230,250,#e6e6fa
LavenderPink,251,174,210,#fbaed2
LavenderPurple,150,123,182,#967bb6
LavenderRose,251,160,227,#fba0e3
LavenderWeb,230,230,250,#e6e6fa
LawnGreen,124,252,0,#7cfc00
Lemon,255,247,0,#fff700
LemonChiffon,255,250,205,#fffacd
LemonLime,227,255,0,#e3ff00
Licorice,26,17,16,#1a1110
LightApricot,253,213,177,#fdd5b1
LightBlue,173,216,230,#add8e6
LightBrown,181,101,29,#b5651d
LightCarminePink,230,103,113,#e66771
LightCoral,240,128,128,#f08080
LightCornflowerBlue,147,204,234,#93ccea
LightCrimson,245,105,145,#f56991
LightCyan,224,255,255,#e0ffff
LightFuchsiaPink,249,132,239,#f984ef
LightGoldenrodYellow,250,250,210,#fafad2
LightGray,211,211,211,#d3d3d3
LightGreen,144,238,144,#90ee90
LightKhaki,240,230,140,#f0e68c
LightPastelPurple,177,156,217,#b19cd9
LightPink,255,182,193,#ffb6c1
