ID Name,Red,Green,Blue,Hexadecimal
Razzmatazz,227,37,107,#e3256b
Red,255,0,0,#FF0000
RedBrown,165,42,42,#a52a2a
RedDevil,134,1,17,#860111
RedMunsell,242,0,60,#f2003c
RedNcs,196,2,51,#c40233
RedOrange,255,83,73,#ff5349
RedPigment,237,28,36,#ed1c24
RedRyb,254,39,18,#fe2712
RedViolet,199,21,133,#c71585
Redwood,171,78,82,#ab4e52
Regalia,82,45,128,#522d80
ResolutionBlue,0,35,135,#002387
RichBlack,0,64,64,#004040
RichBrilliantLavender,241,167,254,#f1a7fe
RichCarmine,215,0,64,#d70040
RichElectricBlue,8,146,208,#0892d0
RichLavender,167,107,207,#a76bcf
RichLilac,182,102,210,#b666d2
RichMaroon,176,48,96,#b03060
RifleGreen,65,72,51,#414833
RobinEggBlue,0,204,204,#0000cc
Rose,255,0,127,#ff007f
RoseBonbon,249,66,158,#f9429e
RoseEbony,103,72,70,#674846
RoseGold,183,110,121,#b76e79
RoseMadder,227,38,54,#e32636
RosePink,255,102,204,#000f6c
RoseQuartz,170,152,169,#aa98a9
RoseTaupe,144,93,93,#905d5d
RoseVale,171,78,82,#ab4e52
Rosewood,101,0,11,#65000b
RossoCorsa,212,0,0,#d40000
RosyBrown,188,143,143,#bc8f8f
RoyalAzure,0,56,168,#0038a8
RoyalBlueTraditional,0,35,102,#002366
RoyalBlueWeb,65,105,225,#4169e1
RoyalFuchsia,202,44,146,#ca2c92
RoyalPurple,120,81,169,#7851a9
RoyalYellow,250,218,94,#fada5e
RubineRed,209,0,86,#d10056
Ruby,224,17,95,#e0115f
RubyRed,155,17,30,#9b111e
Ruddy,255,0,40,#ff0028
RuddyBrown,187,101,40,#bb6528
RuddyPink,225,142,150,#e18e96
Rufous,168,28,7,#a81c07
Russet,128,70,27,#80461b
Rust,183,65,14,#b7410e
RustyRed,218,44,67,#da2c43
SacramentoStateGreen,0,86,63,#00563f
SaddleBrown,139,69,19,#8b4513
SafetyOrangeBlazeOrange,255,103,0,#ff6700
Saffron,244,196,48,#f4c430
Salmon,255,140,105,#ff8c69
SalmonPink,255,145,164,#ff91a4
Sand,194,178,128,#c2b280
SandDune,150,113,23,#967117
Sandstorm,236,213,64,#ecd540
SandyBrown,244,164,96,#f4a460
SandyTaupe,150,113,23,#967117
Sangria,146,0,10,#92000a
SapGreen,80,125,42,#507d2a
Sapphire,15,82,186,#0f52ba
SapphireBlue,0,103,165,#0067a5
SatinSheenGold,203,161,53,#cba135
Scarlet,255,36,0,#ff2400
ScarletCrayola,253,14,53,#fd0e35
SchoolBusYellow,255,216,0,#ffd800
ScreaminGreen,118,255,122,#76ff7a
SeaBlue,0,105,148,#006994
SeaGreen,46,139,87,#2e8b57
SealBrown,50,20,20,#321414
Seashell,255,245,238,#fff5ee
SelectiveYellow,255,186,0,#ffba00
Sepia,112,66,20,#704214
Shadow,138,121,93,#8a795d
ShamrockGreen,0,158,96,#009e60
ShockingPink,252,15,192,#fc0fc0
ShockingPinkCrayola,255,111,255,#ff6fff
Sienna,136,45,23,#882d17
Silver,192,192,192,#c0c0c0
Sinopia,203,65,11,#cb410b
Skobeloff,0,116,116,#007474
SkyBlue,135,206,235,#87ceeb
SkyMagenta,207,113,175,#cf71af
SlateBlue,106,90,205,#6a5acd
SlateGray,112,128,144,#708090
SmaltDarkPowderBlue,0,51,153,#000039
SmokeyTopaz,147,61,65,#933d41
SmokyBlack,16,12,8,#100c08
Snow,255,250,250,#fffafa
SpiroDiscoBall,15,192,252,#0fc0fc
SpringBud,167,252,0,#a7fc00
SpringGreen,0,255,127,#00ff7f
St.PatrickSBlue,35,41,122,#23297a
SteelBlue,70,130,180,#4682b4
StilDeGrainYellow,250,218,94,#fada5e
Stizza,153,0,0,#000900
Stormcloud,79,102,106,#4f666a
Straw,228,217,111,#e4d96f
Sunglow,255,204,51,#000fc3
Sunset,250,214,165,#fad6a5
Tan,210,180,140,#d2b48c
Tangelo,249,77,0,#f94d00
Tangerine,242,133,0,#f28500
TangerineYellow,255,204,0,#000fc0
TangoPink,228,113,122,#e4717a
Taupe,72,60,50,#483c32
TaupeGray,139,133,137,#8b8589
